model,temperature,epsilon,n_images_repaired,f1_all,f1_nonrepaired_only,f1_repaired_only
llava:13b,0.0,0.5,116,0.41783750763591937,0.49346879535558785,0.3628691983122363
llava:13b,0.0,0.6,116,0.27489309712889437,0.31640058055152404,0.24472573839662445
llava:13b,0.0,0.7,116,0.18204031765424558,0.21770682148040638,0.1561181434599156
llava:13b,0.0,0.8,116,0.11728772144166158,0.1335268505079826,0.10548523206751055
llava:13b,0.0,0.9,116,0.0562003665241295,0.06966618287373004,0.046413502109704644
llava:13b,0.2,0.5,116,0.42435424354243545,0.4672619047619047,0.39412997903563946
llava:13b,0.2,0.6,116,0.2607626076260763,0.2976190476190476,0.23480083857442346
llava:13b,0.2,0.7,116,0.16605166051660517,0.19940476190476195,0.14255765199161427
llava:13b,0.2,0.8,116,0.11316113161131611,0.13392857142857142,0.09853249475890986
llava:13b,0.2,0.9,116,0.05043050430504305,0.07142857142857141,0.03563941299790357
llava:13b,0.4,0.5,116,0.38461538461538464,0.406576980568012,0.36903499469777307
llava:13b,0.4,0.6,116,0.2369727047146402,0.25112107623318386,0.22693531283138918
llava:13b,0.4,0.7,116,0.15260545905707196,0.16143497757847536,0.14634146341463414
llava:13b,0.4,0.8,116,0.10297766749379654,0.10463378176382661,0.10180275715800635
llava:13b,0.4,0.9,116,0.05210918114143921,0.05680119581464873,0.04878048780487805
llava:13b,0.6,0.5,116,0.3570993296770261,0.38138138138138145,0.3405128205128205
llava:13b,0.6,0.6,116,0.23156611822059722,0.23723723723723725,0.22769230769230767
llava:13b,0.6,0.7,116,0.13772090188909203,0.14414414414414414,0.13333333333333333
llava:13b,0.6,0.8,116,0.07800121876904327,0.07807807807807808,0.07794871794871794
llava:13b,0.6,0.9,116,0.03412553321145642,0.03903903903903904,0.030769230769230767
llava:13b,0.8,0.5,116,0.3412844036697248,0.36336779911373707,0.325678496868476
llava:13b,0.8,0.6,116,0.20428134556574923,0.20974889217134415,0.20041753653444677
llava:13b,0.8,0.7,116,0.12844036697247707,0.1358936484490399,0.1231732776617954
llava:13b,0.8,0.8,116,0.0709480122324159,0.06794682422451995,0.07306889352818371
llava:13b,0.8,0.9,116,0.029357798165137613,0.0413589364844904,0.020876826722338204
llava:13b,1.0,0.5,116,0.33147804576376005,0.36959761549925485,0.30443974630021137
llava:13b,1.0,0.6,116,0.21768707482993196,0.2384500745156483,0.2029598308668076
llava:13b,1.0,0.7,116,0.11255411255411256,0.11922503725782416,0.10782241014799154
llava:13b,1.0,0.8,116,0.06307977736549165,0.05961251862891208,0.06553911205073996
llava:13b,1.0,0.9,116,0.02844774273345702,0.02980625931445604,0.02748414376321353
llava:7b,0.0,0.5,9,0.39758308157099703,0.39826839826839827,0.3684210526315789
llava:7b,0.0,0.6,9,0.20060422960725077,0.19913419913419914,0.2631578947368421
llava:7b,0.0,0.7,9,0.11963746223564956,0.11997526283240569,0.10526315789473684
llava:7b,0.0,0.8,9,0.08942598187311177,0.09029066171923314,0.05263157894736842
llava:7b,0.0,0.9,9,0.038670694864048345,0.0383426097711812,0.05263157894736842
llava:7b,0.2,0.5,10,0.3990355635925256,0.39876543209876547,0.41025641025641024
llava:7b,0.2,0.6,10,0.2218203737191079,0.22345679012345682,0.15384615384615385
llava:7b,0.2,0.7,10,0.13863773357444245,0.14074074074074078,0.05128205128205128
llava:7b,0.2,0.8,10,0.0867992766726944,0.08765432098765433,0.05128205128205128
llava:7b,0.2,0.9,10,0.03857745629897528,0.03950617283950617,0.0
llava:7b,0.4,0.5,11,0.38369304556354916,0.3859432799013563,0.30434782608695654
llava:7b,0.4,0.6,11,0.23021582733812948,0.2318125770653514,0.17391304347826086
llava:7b,0.4,0.7,11,0.1390887290167866,0.13933415536374846,0.13043478260869565
llava:7b,0.4,0.8,11,0.08992805755395683,0.09001233045622689,0.08695652173913043
llava:7b,0.4,0.9,11,0.0407673860911271,0.03945745992601726,0.08695652173913043
llava:7b,0.6,0.5,13,0.3429242513211979,0.34580012262415694,0.27777777777777773
llava:7b,0.6,0.6,13,0.19495008807985906,0.19497240956468423,0.19444444444444445
llava:7b,0.6,0.7,13,0.10569583088667057,0.1066830165542612,0.08333333333333334
llava:7b,0.6,0.8,13,0.05637110980622431,0.05518087063151441,0.08333333333333334
llava:7b,0.6,0.9,13,0.025836758661186142,0.02575107296137339,0.027777777777777776
llava:7b,0.8,0.5,18,0.29568302779420463,0.29161290322580646,0.34042553191489355
llava:7b,0.8,0.6,18,0.16676522767593138,0.16903225806451613,0.14184397163120568
llava:7b,0.8,0.7,18,0.10053222945002957,0.10064516129032258,0.09929078014184398
llava:7b,0.8,0.8,18,0.05677114133648728,0.058064516129032254,0.042553191489361694
llava:7b,0.8,0.9,18,0.02956830277942046,0.03096774193548387,0.014184397163120569
llava:7b,1.0,0.5,24,0.27492625368731566,0.27325959661678595,0.29113924050632917
llava:7b,1.0,0.6,24,0.1687315634218289,0.17046193884189983,0.15189873417721517
llava:7b,1.0,0.7,24,0.08849557522123895,0.08978529603122966,0.07594936708860758
llava:7b,1.0,0.8,24,0.04129793510324484,0.04033832140533507,0.05063291139240506
llava:7b,1.0,0.9,24,0.012979351032448377,0.014313597918022121,0.0
minicpm-v:8b,0.2,0.5,1,0.5574999999999999,0.5584905660377357,0.4000000000000001
minicpm-v:8b,0.2,0.6,1,0.38249999999999995,0.38238993710691827,0.4000000000000001
minicpm-v:8b,0.2,0.7,1,0.2325,0.23144654088050315,0.4000000000000001
minicpm-v:8b,0.2,0.8,1,0.1525,0.15220125786163521,0.20000000000000004
minicpm-v:8b,0.2,0.9,1,0.08875000000000001,0.08805031446540881,0.20000000000000004
minicpm-v:8b,0.4,0.5,3,0.5359801488833748,0.5365853658536586,0.4615384615384615
minicpm-v:8b,0.4,0.6,3,0.37096774193548393,0.3714821763602252,0.30769230769230765
minicpm-v:8b,0.4,0.7,3,0.23076923076923075,0.2313946216385241,0.15384615384615383
minicpm-v:8b,0.4,0.8,3,0.14764267990074442,0.14884302689180737,0.0
minicpm-v:8b,0.4,0.9,3,0.0781637717121588,0.07879924953095684,0.0
minicpm-v:8b,0.6,0.5,5,0.5101413644744929,0.5108225108225107,0.4000000000000001
minicpm-v:8b,0.6,0.6,5,0.35771358328211433,0.357452071737786,0.4000000000000001
minicpm-v:8b,0.6,0.7,5,0.22372464658881377,0.22263450834879406,0.4000000000000001
minicpm-v:8b,0.6,0.8,5,0.14013521819299327,0.13976499690785404,0.20000000000000004
minicpm-v:8b,0.6,0.9,5,0.07006760909649663,0.06926406926406926,0.20000000000000004
minicpm-v:8b,0.8,0.5,10,0.4722564734895191,0.47295597484276725,0.43750000000000006
minicpm-v:8b,0.8,0.6,10,0.34895191122071517,0.35094339622641507,0.25
minicpm-v:8b,0.8,0.7,10,0.20715166461159062,0.20880503144654086,0.125
minicpm-v:8b,0.8,0.8,10,0.1159062885326757,0.11698113207547169,0.0625
minicpm-v:8b,0.8,0.9,10,0.05425400739827374,0.05408805031446541,0.0625
minicpm-v:8b,1.0,0.5,18,0.4623052959501558,0.4580559254327563,0.5242718446601942
minicpm-v:8b,1.0,0.6,18,0.3177570093457944,0.3115845539280958,0.4077669902912621
minicpm-v:8b,1.0,0.7,18,0.17943925233644858,0.17310252996005326,0.2718446601941748
minicpm-v:8b,1.0,0.8,18,0.1071651090342679,0.09986684420772304,0.21359223300970873
minicpm-v:8b,1.0,0.9,18,0.06105919003115264,0.055925432756324896,0.1359223300970874
ministral-3:14b,0.2,0.5,1,0.4178154825026511,0.41706666666666664,0.5454545454545454
ministral-3:14b,0.2,0.6,1,0.256627783669141,0.256,0.3636363636363636
ministral-3:14b,0.2,0.7,1,0.11983032873806998,0.11839999999999999,0.3636363636363636
ministral-3:14b,0.2,0.8,1,0.05090137857900318,0.0512,0.0
ministral-3:14b,0.2,0.9,1,0.012725344644750796,0.0128,0.0
ministral-3:3b,0.4,0.5,2,0.4229934924078091,0.42214912280701755,0.5
ministral-3:3b,0.4,0.6,2,0.2754880694143167,0.2741228070175439,0.4000000000000001
ministral-3:3b,0.4,0.7,2,0.13232104121475055,0.13157894736842105,0.20000000000000004
ministral-3:3b,0.4,0.8,2,0.049891540130151846,0.05043859649122807,0.0
ministral-3:3b,0.4,0.9,2,0.022776572668112796,0.02302631578947368,0.0
ministral-3:3b,0.6,0.5,3,0.38685344827586204,0.3873431533006001,0.34782608695652173
ministral-3:3b,0.6,0.6,3,0.26400862068965514,0.2629569012547736,0.34782608695652173
ministral-3:3b,0.6,0.7,3,0.13900862068965517,0.13747954173486088,0.2608695652173913
ministral-3:3b,0.6,0.8,3,0.05280172413793103,0.05237315875613748,0.08695652173913043
ministral-3:3b,0.6,0.9,3,0.021551724137931032,0.02182214948172395,0.0
ministral-3:3b,0.8,0.5,10,0.38685344827586204,0.3893604980192416,0.33707865168539325
ministral-3:3b,0.8,0.6,10,0.23168103448275862,0.2320316921335597,0.2247191011235955
ministral-3:3b,0.8,0.7,10,0.11314655172413794,0.11205432937181665,0.1348314606741573
ministral-3:3b,0.8,0.8,10,0.034482758620689655,0.03508771929824562,0.022471910112359546
ministral-3:3b,0.8,0.9,10,0.016163793103448273,0.016977928692699488,0.0
ministral-3:3b,1.0,0.5,17,0.3593329747175901,0.35589264877479587,0.39999999999999997
ministral-3:3b,1.0,0.6,17,0.21409359870898334,0.21120186697782964,0.2482758620689655
ministral-3:3b,1.0,0.7,17,0.09682625067240452,0.09684947491248541,0.09655172413793105
ministral-3:3b,1.0,0.8,17,0.031199569661108116,0.032672112018669784,0.013793103448275862
ministral-3:3b,1.0,0.9,17,0.010758472296933835,0.011668611435239206,0.0
ministral-3:8b,0.4,0.5,1,0.47483588621444195,0.47466960352422904,0.5
ministral-3:8b,0.4,0.6,1,0.29868708971553615,0.29845814977973567,0.3333333333333333
ministral-3:8b,0.4,0.7,1,0.149890590809628,0.14977973568281938,0.16666666666666666
ministral-3:8b,0.4,0.8,1,0.05908096280087527,0.05837004405286344,0.16666666666666666
ministral-3:8b,0.4,0.9,1,0.026258205689277902,0.02643171806167401,0.0
ministral-3:8b,0.6,0.5,1,0.42644628099173554,0.4263565891472868,0.4444444444444445
ministral-3:8b,0.6,0.6,1,0.2600550964187328,0.2602436323366556,0.22222222222222224
ministral-3:8b,0.6,0.7,1,0.12341597796143251,0.124031007751938,0.0
ministral-3:8b,0.6,0.8,1,0.04958677685950414,0.04983388704318937,0.0
ministral-3:8b,0.6,0.9,1,0.02203856749311295,0.0221483942414175,0.0
ministral-3:8b,0.8,0.5,1,0.4241435562805873,0.424507658643326,0.3636363636363636
ministral-3:8b,0.8,0.6,1,0.2425231103860794,0.24179431072210067,0.3636363636363636
ministral-3:8b,0.8,0.7,1,0.11419249592169659,0.1137855579868709,0.1818181818181818
ministral-3:8b,0.8,0.8,1,0.042414355628058724,0.04157549234135668,0.1818181818181818
ministral-3:8b,0.8,0.9,1,0.01848830886351278,0.017505470459518602,0.1818181818181818
ministral-3:8b,1.0,0.5,4,0.39498090561920346,0.3943977591036415,0.41666666666666663
ministral-3:8b,1.0,0.6,4,0.23349699945444627,0.23193277310924368,0.2916666666666667
ministral-3:8b,1.0,0.7,4,0.11129296235679215,0.10868347338935574,0.20833333333333331
ministral-3:8b,1.0,0.8,4,0.0392798690671031,0.03921568627450981,0.04166666666666667
ministral-3:8b,1.0,0.9,4,0.016366612111292964,0.01568627450980392,0.04166666666666667
moondream:1.8b,0.0,0.5,116,0.3236994219653179,0.3317535545023697,0.31691078561917446
moondream:1.8b,0.0,0.6,116,0.2138728323699422,0.24328593996840445,0.18908122503328895
moondream:1.8b,0.0,0.7,116,0.13728323699421965,0.14218009478672985,0.13315579227696406
moondream:1.8b,0.0,0.8,116,0.08815028901734102,0.08530805687203791,0.09054593874833554
moondream:1.8b,0.0,0.9,116,0.03901734104046243,0.0410742496050553,0.037283621837549935
moondream:1.8b,0.2,0.5,116,0.33121019108280253,0.2910798122065728,0.3643410852713178
moondream:1.8b,0.2,0.6,116,0.21089879688605803,0.2097026604068858,0.2118863049095607
moondream:1.8b,0.2,0.7,116,0.12880396319886767,0.11267605633802816,0.1421188630490956
moondream:1.8b,0.2,0.8,116,0.09624911535739561,0.06885758998435054,0.11886304909560723
moondream:1.8b,0.2,0.9,116,0.03963198867657466,0.025039123630672927,0.0516795865633075
moondream:1.8b,0.4,0.5,116,0.32472826086956513,0.30340557275541796,0.3414043583535109
moondream:1.8b,0.4,0.6,116,0.21603260869565216,0.20743034055727555,0.22276029055690075
moondream:1.8b,0.4,0.7,116,0.13994565217391303,0.12693498452012383,0.15012106537530268
moondream:1.8b,0.4,0.8,116,0.10054347826086957,0.0804953560371517,0.1162227602905569
moondream:1.8b,0.4,0.9,116,0.03804347826086957,0.02786377708978328,0.046004842615012115
moondream:1.8b,0.6,0.5,116,0.3235294117647059,0.3157894736842105,0.3297232250300842
moondream:1.8b,0.6,0.6,116,0.21657754010695188,0.21954887218045113,0.21419975932611315
moondream:1.8b,0.6,0.7,116,0.13502673796791445,0.13834586466165413,0.13237063778580024
moondream:1.8b,0.6,0.8,116,0.09224598930481284,0.09022556390977444,0.09386281588447654
moondream:1.8b,0.6,0.9,116,0.04144385026737968,0.042105263157894736,0.04091456077015644
moondream:1.8b,0.8,0.5,116,0.34706279540850776,0.35964912280701755,0.3362609786700126
