model,temperature,epsilon,n_matched_with_weight,n_missed,mae,medae,nmae_legacy,cpmae,cpmae_fp
gemma3:4b,0.0,0.9,65,805,57.2,49.0,123.63563218390804,144.84827586206896,209.61954022988505
gemma3:4b,0.2,0.5,291,579,69.16151202749141,50.0,108.98505747126437,117.12183908045976,150.37816091954022
gemma3:4b,0.2,0.6,221,649,69.37556561085972,51.0,113.85402298850575,125.0919540229885,167.6126436781609
gemma3:4b,0.2,0.7,164,706,59.1890243902439,49.5,115.84022988505747,131.52988505747126,181.10229885057473
gemma3:4b,0.2,0.8,99,771,58.61616161616162,46.0,120.99080459770114,141.21379310344827,201.7574712643678
gemma3:4b,0.2,0.9,67,803,59.149253731343286,51.0,123.62068965517241,144.57931034482758,208.9045977011494
gemma3:4b,0.4,0.5,283,587,69.36749116607774,46.0,109.60229885057471,117.94137931034483,152.32183908045977
gemma3:4b,0.4,0.6,212,658,69.14622641509433,49.0,114.41494252873564,125.8551724137931,169.70114942528735
gemma3:4b,0.4,0.7,161,709,60.88819875776397,44.0,116.39540229885057,131.3367816091954,181.13103448275862
gemma3:4b,0.4,0.8,97,773,58.01030927835052,44.0,121.08505747126436,141.32298850574713,202.04827586206898
gemma3:4b,0.4,0.9,65,805,55.84615384615385,46.0,123.53448275862068,144.51609195402298,209.02298850574712
gemma3:4b,0.6,0.5,299,571,69.1638795986622,50.0,108.43563218390804,115.14137931034483,147.7942528735632
gemma3:4b,0.6,0.6,227,643,70.0,51.0,113.60574712643678,123.03218390804598,164.84022988505748
gemma3:4b,0.6,0.7,169,701,59.562130177514796,49.0,115.51149425287356,129.79310344827587,179.30229885057472
gemma3:4b,0.6,0.8,104,766,57.29807692307692,47.0,120.4287356321839,140.7735632183908,202.11609195402298
gemma3:4b,0.6,0.9,67,803,58.014925373134325,49.0,123.53333333333333,144.6712643678161,210.42183908045976
gemma3:4b,0.8,0.5,290,580,71.14137931034483,50.5,109.71379310344828,116.93908045977011,152.41149425287355
gemma3:4b,0.8,0.6,224,646,68.58035714285714,51.0,113.44367816091955,124.43448275862069,168.2919540229885
gemma3:4b,0.8,0.7,164,706,62.58536585365854,46.0,116.48045977011495,131.2816091954023,182.93793103448274
gemma3:4b,0.8,0.8,97,773,62.54639175257732,49.0,121.59080459770115,141.79080459770114,205.00459770114944
gemma3:4b,0.8,0.9,68,802,60.6764705882353,55.5,123.65977011494253,144.76206896551724,211.6712643678161
gemma3:4b,1.0,0.5,290,580,70.09655172413792,48.5,109.36551724137931,117.65172413793104,151.98045977011495
gemma3:4b,1.0,0.6,217,653,70.7557603686636,51.0,114.47241379310344,125.22873563218391,168.9367816091954
gemma3:4b,1.0,0.7,164,706,60.5,48.0,116.08735632183908,131.13908045977013,181.3183908045977
gemma3:4b,1.0,0.8,99,771,62.94949494949495,50.0,121.48390804597702,141.12758620689655,202.64022988505747
gemma3:4b,1.0,0.9,71,799,67.04225352112677,48.0,123.94367816091955,143.83563218390805,208.50919540229884
gpt-4.1,0.0,0.5,673,197,44.687964338781576,29.0,63.779310344827586,71.75402298850575,101.81149425287356
gpt-4.1,0.0,0.6,518,352,44.69498069498069,32.0,78.80459770114942,88.6080459770115,137.71724137931034
gpt-4.1,0.0,0.7,290,580,48.1551724137931,37.0,102.05172413793103,115.27471264367816,193.40689655172415
gpt-4.1,0.0,0.8,190,680,42.49473684210526,38.5,110.1080459770115,129.72988505747125,223.44827586206895
gpt-4.1,0.0,0.9,109,761,41.825688073394495,35.0,118.07816091954022,138.25862068965517,240.89655172413794
gpt-4.1,0.2,0.5,674,196,43.6053412462908,28.0,62.84367816091954,71.41609195402299,100.74022988505747
gpt-4.1,0.2,0.6,514,356,44.83852140077821,32.0,79.27701149425287,89.14367816091954,138.2896551724138
gpt-4.1,0.2,0.7,300,570,47.26,35.5,100.81379310344828,113.60459770114943,189.42298850574713
gpt-4.1,0.2,0.8,190,680,41.05263157894737,34.0,109.79310344827586,129.55862068965519,222.5494252873563
gpt-4.1,0.2,0.9,111,759,40.585585585585584,33.0,117.71954022988506,137.7816091954023,239.4045977011494
gpt-4.1,0.4,0.5,678,192,43.75368731563422,28.0,62.56666666666667,70.2022988505747,99.03563218390805
gpt-4.1,0.4,0.6,513,357,46.64717348927875,33.0,80.44022988505748,89.75287356321839,139.98275862068965
gpt-4.1,0.4,0.7,294,576,48.085034013605444,39.0,101.65632183908046,114.70574712643678,191.76896551724138
gpt-4.1,0.4,0.8,184,686,42.18478260869565,39.0,110.63908045977011,130.48850574712642,224.58045977011494
gpt-4.1,0.4,0.9,106,764,42.509433962264154,34.5,118.46206896551725,138.70114942528735,241.38505747126436
gpt-4.1,0.6,0.5,665,205,43.98045112781955,29.0,64.01379310344828,71.84597701149426,102.18505747126437
gpt-4.1,0.6,0.6,505,365,46.499009900990096,33.0,81.11149425287357,90.29425287356322,141.0241379310345
gpt-4.1,0.6,0.7,290,580,49.182758620689654,38.0,102.39425287356322,115.84942528735633,193.9528735632184
gpt-4.1,0.6,0.8,187,683,44.01604278074866,39.0,110.73333333333333,129.416091954023,222.55977011494252
gpt-4.1,0.6,0.9,104,766,44.29807692307692,37.0,118.87471264367817,138.54022988505747,241.2816091954023
gpt-4.1,0.8,0.5,667,203,43.64917541229385,26.0,63.56436781609195,71.90919540229885,101.44367816091955
gpt-4.1,0.8,0.6,512,358,45.40625,30.0,79.80459770114942,89.1816091954023,138.15862068965518
gpt-4.1,0.8,0.7,297,573,48.676767676767675,40.0,101.57931034482759,114.27701149425287,190.62758620689655
gpt-4.1,0.8,0.8,181,689,43.0939226519337,40.0,111.12758620689655,130.69655172413792,224.20229885057472
gpt-4.1,0.8,0.9,101,769,44.15841584158416,35.0,119.15057471264367,139.1425287356322,241.56781609195403
gpt-4.1,1.0,0.5,659,211,43.47647951441578,28.0,64.2183908045977,72.8816091954023,104.71034482758621
gpt-4.1,1.0,0.6,486,384,46.516460905349795,33.0,82.92298850574713,92.30919540229885,145.91954022988506
gpt-4.1,1.0,0.7,296,574,47.90878378378378,38.5,101.4103448275862,114.30114942528736,191.5264367816092
