model,temperature,precision,recall,f1
llava:7b,0.4,0.32957393483709274,0.3022988505747126,0.31534772182254195
llava:7b,0.6,0.27130852340936373,0.2597701149425287,0.2654139753376395
llava:7b,0.8,0.25091352009744217,0.2367816091954023,0.24364281490242462
llava:7b,1.0,0.23757575757575758,0.22528735632183908,0.2312684365781711
minicpm-v:8b,0.0,0.5234270414993306,0.4494252873563218,0.48361162646876926
minicpm-v:8b,0.2,0.5136986301369864,0.43103448275862066,0.46875
minicpm-v:8b,0.4,0.5107816711590296,0.435632183908046,0.47022332506203474
minicpm-v:8b,0.6,0.4715984147952444,0.4103448275862069,0.4388444990780578
minicpm-v:8b,0.8,0.45478723404255317,0.3931034482758621,0.4217016029593095
minicpm-v:8b,1.0,0.44081632653061226,0.3724137931034483,0.4037383177570094
ministral-3:14b,0.0,0.37537537537537535,0.43103448275862066,0.40128410914927765
ministral-3:14b,0.2,0.3799212598425197,0.4436781609195402,0.4093319194061506
ministral-3:14b,0.4,0.3649706457925636,0.42873563218390803,0.39429175475687106
ministral-3:14b,0.6,0.38109452736318405,0.44022988505747124,0.40853333333333325
ministral-3:14b,0.8,0.3641851106639839,0.4160919540229885,0.38841201716738194
ministral-3:14b,1.0,0.3395853899308983,0.3954022988505747,0.36537440254912373
ministral-3:3b,0.0,0.3829344432882414,0.42298850574712643,0.4019661387220098
ministral-3:3b,0.2,0.3951781970649895,0.43333333333333335,0.4133771929824562
ministral-3:3b,0.4,0.37166324435318276,0.4160919540229885,0.39262472885032534
ministral-3:3b,0.6,0.37018255578093306,0.41954022988505746,0.3933189655172414
ministral-3:3b,0.8,0.3640973630831643,0.4126436781609195,0.38685344827586204
ministral-3:3b,1.0,0.33872598584428715,0.3850574712643678,0.3604088219472834
ministral-3:8b,0.0,0.4215481171548117,0.4632183908045977,0.4414019715224535
ministral-3:8b,0.2,0.4225941422594142,0.46436781609195404,0.4424972617743702
ministral-3:8b,0.4,0.4279749478079332,0.47126436781609193,0.4485776805251641
ministral-3:8b,0.6,0.4042328042328042,0.43908045977011495,0.4209366391184573
ministral-3:8b,0.8,0.4004127966976264,0.4459770114942529,0.42196846112017405
ministral-3:8b,1.0,0.3821391484942887,0.42298850574712643,0.4015275504637207
mistral-small3.1:24b,0.0,0.4433551198257081,0.46781609195402296,0.4552572706935123
mistral-small3.1:24b,0.2,0.44994499449944997,0.47011494252873565,0.4598088813940416
mistral-small3.1:24b,0.4,0.43564356435643564,0.45517241379310347,0.4451939291736931
mistral-small3.1:24b,0.6,0.4270032930845225,0.4471264367816092,0.43683323975294774
mistral-small3.1:24b,0.8,0.40130861504907306,0.42298850574712643,0.41186345831001675
mistral-small3.1:24b,1.0,0.402555910543131,0.43448275862068964,0.417910447761194
moondream:1.8b,0.0,0.321011673151751,0.1896551724137931,0.2384393063583815
moondream:1.8b,0.2,0.3443830570902394,0.2149425287356322,0.2646850672328379
moondream:1.8b,0.4,0.3272425249169435,0.2264367816091954,0.26766304347826086
moondream:1.8b,0.6,0.31629392971246006,0.22758620689655173,0.2647058823529412
moondream:1.8b,0.8,0.32896890343698854,0.23103448275862068,0.2714382174206617
moondream:1.8b,1.0,0.2605421686746988,0.19885057471264367,0.2255541069100391
qwen2.5vl:3b,0.0,0.49731182795698925,0.42528735632183906,0.4584882280049566
qwen2.5vl:3b,0.2,0.5192582025677603,0.41839080459770117,0.4633991088478676
qwen2.5vl:3b,0.4,0.4861878453038674,0.4045977011494253,0.44165621079046424
qwen2.5vl:3b,0.6,0.47572815533980584,0.39425287356321836,0.43117536140791957
qwen2.5vl:3b,0.8,0.43699731903485256,0.37471264367816093,0.40346534653465344
qwen2.5vl:3b,1.0,0.39946380697050937,0.3425287356321839,0.36881188118811886
qwen2.5vl:7b,0.0,0.6445859872611465,0.5816091954022988,0.6114803625377643
qwen2.5vl:7b,0.2,0.6387832699619772,0.5793103448275863,0.6075949367088609
qwen2.5vl:7b,0.4,0.62875,0.5781609195402299,0.6023952095808384
qwen2.5vl:7b,0.6,0.6073232323232324,0.5528735632183908,0.5788206979542719
qwen2.5vl:7b,0.8,0.5982587064676617,0.5528735632183908,0.5746714456391875
qwen2.5vl:7b,1.0,0.5748129675810474,0.5298850574712644,0.5514354066985646
qwen3-vl:2b,0.0,0.5344827586206896,0.035632183908045977,0.0668103448275862
qwen3-vl:2b,0.2,0.5526315789473685,0.04827586206896552,0.08879492600422834
qwen3-vl:2b,0.4,0.5682819383259912,0.1482758620689655,0.23518687329079307
qwen3-vl:2b,0.6,0.5274949083503055,0.29770114942528736,0.3806024981631154
qwen3-vl:2b,0.8,0.4861111111111111,0.3620689655172414,0.4150197628458498
qwen3-vl:2b,1.0,0.4936530324400564,0.40229885057471265,0.4433185560481318
qwen3-vl:4b,0.0,0.534521158129176,0.27586206896551724,0.36391205458680814
qwen3-vl:4b,0.2,0.5130111524163569,0.31724137931034485,0.39204545454545453
qwen3-vl:4b,0.4,0.5231316725978647,0.33793103448275863,0.4106145251396648
qwen3-vl:4b,0.6,0.5369030390738061,0.4264367816091954,0.4753363228699552
qwen3-vl:4b,0.8,0.5511450381679389,0.4149425287356322,0.4734426229508197
qwen3-vl:4b,1.0,0.5381944444444444,0.3563218390804598,0.42876901798063627
qwen3-vl:8b,0.0,0.49225473321858865,0.32873563218390806,0.39421088904204
qwen3-vl:8b,0.2,0.49924357034795763,0.3793103448275862,0.43109079033311565
qwen3-vl:8b,0.4,0.49043715846994534,0.4126436781609195,0.44818976279650435
qwen3-vl:8b,0.6,0.48378728923476005,0.42873563218390803,0.45460085313833026
qwen3-vl:8b,0.8,0.47718865598027127,0.44482758620689655,0.46044021415823916
qwen3-vl:8b,1.0,0.4772727272727273,0.4586206896551724,0.4677608440797187
