epsilon,reference,model,ref_T,model_T,delta_f1_mean,delta_f1_lo,delta_f1_hi,p_ref_better
0.5,gpt-4o,qwen3-vl:2b,0.2,1.0,0.33067557680230664,0.288238829101019,0.3731772311943759,1.0
0.5,gpt-4o,qwen3-vl:4b,0.2,0.8,0.285889039265467,0.24102836720381307,0.33037271779688954,1.0
0.5,gpt-4o,qwen3-vl:8b,0.2,0.2,0.2708739313735055,0.2291660208051041,0.3127853003456775,1.0
0.6,qwen2.5vl:7b,bakllava:7b,0.0,0.2,0.39211383091280166,0.3467569616158546,0.43606158177320226,1.0
0.6,qwen2.5vl:7b,gemma3:12b,0.0,0.4,0.21614326694011976,0.18109895972795914,0.25272083582752886,1.0
0.6,qwen2.5vl:7b,gemma3:4b,0.0,0.0,0.25393743479381825,0.21455160937568865,0.29482850251814274,1.0
0.6,qwen2.5vl:7b,gpt-4.1,0.0,0.0,0.0017844214700305438,-0.03442403819944621,0.03616037383022134,0.538
0.6,qwen2.5vl:7b,gpt-4o,0.0,0.2,0.02609506382608449,-0.006521394400181745,0.05839090186851586,0.9445
0.6,qwen2.5vl:7b,gpt-5.2,0.0,0.2,0.1446189022042965,0.11014977606753128,0.18129844113831925,1.0
0.6,qwen2.5vl:7b,granite3.2-vision:2b,0.0,0.0,0.38606947403050296,0.34548532042534275,0.4269188448797433,1.0
0.6,qwen2.5vl:7b,llama3.2-vision:11b,0.0,0.0,0.11799484628375348,0.08021539573882247,0.1561980458778813,1.0
0.6,qwen2.5vl:7b,llava-llama3:8b,0.0,0.0,0.30123201597789184,0.262347744455245,0.3410672294414066,1.0
0.6,qwen2.5vl:7b,llava-phi3:3.8b,0.0,0.2,0.3663993576591414,0.32757076180123357,0.4060158726780763,1.0
0.6,qwen2.5vl:7b,llava:13b,0.0,0.0,0.29916582843913603,0.26457179727010327,0.3331272007141231,1.0
0.6,qwen2.5vl:7b,llava:7b,0.0,0.4,0.3439286204618289,0.30555174001568147,0.3835030424859812,1.0
0.6,qwen2.5vl:7b,minicpm-v:8b,0.0,0.0,0.18783822598657793,0.15066238000541485,0.22468849468776025,1.0
0.6,qwen2.5vl:7b,ministral-3:14b,0.0,0.6,0.2975030502151959,0.2638887198741401,0.3329735899819019,1.0
0.6,qwen2.5vl:7b,ministral-3:3b,0.0,0.0,0.28594873290395767,0.2506576479481205,0.3218978746154524,1.0
0.6,qwen2.5vl:7b,ministral-3:8b,0.0,0.4,0.2751756621559384,0.23943898996273863,0.31035743088053047,1.0
0.6,qwen2.5vl:7b,mistral-small3.1:24b,0.0,0.2,0.15905504288400574,0.12682821451919493,0.19215121923814238,1.0
0.6,qwen2.5vl:7b,moondream:1.8b,0.0,0.8,0.3437274850734798,0.29918401128345806,0.38437842752914914,1.0
0.6,qwen2.5vl:7b,qwen2.5vl:3b,0.0,0.0,0.14430755593309372,0.10323287000230771,0.18983314267075496,1.0
0.6,qwen2.5vl:7b,qwen3-vl:2b,0.0,0.8,0.26928585035175456,0.2327374331368853,0.30763348818724934,1.0
0.6,qwen2.5vl:7b,qwen3-vl:4b,0.0,0.8,0.21864363105971896,0.17593086048508894,0.26339948373545236,1.0
0.6,qwen2.5vl:7b,qwen3-vl:8b,0.0,1.0,0.2151754763567396,0.1791450935472538,0.25384070743809933,1.0
0.6,gpt-4o,bakllava:7b,0.2,0.2,0.36601876708671716,0.32266382094481066,0.40709717239105675,1.0
0.6,gpt-4o,gemma3:12b,0.2,0.4,0.19004820311403522,0.1566737063951443,0.22574265720251377,1.0
0.6,gpt-4o,gemma3:4b,0.2,0.0,0.22784237096773377,0.1919204597618736,0.2641794904784253,1.0
