model,temperature,epsilon,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi,f1_mean,f1_lo,f1_hi,jaccard_mean,jaccard_lo,jaccard_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi,cpmae_fp_mean,cpmae_fp_lo,cpmae_fp_hi
gemma3:12b,0.8,0.5,0.5164274688221548,0.47907867442215024,0.5531114974396266,0.47927907477812576,0.4455992463138494,0.5119438053315722,0.49709938201301546,0.46308109839666484,0.5301935377619109,0.3309309089779232,0.30130483662561336,0.36072336827112056,52.94510134133944,46.01537146339386,60.684664329991385,104.64148602349599,98.74114029332156,110.84010260267382,149.18016888418865,139.60304032980616,159.24676119930197
gemma3:12b,0.8,0.6,0.37144127820078116,0.3358578765179889,0.4049689440993789,0.3446947408584523,0.3131857142857143,0.37412193000066923,0.3575248148404126,0.3254644672586078,0.3885106785573252,0.21778791876760648,0.1943610400782097,0.2410879665696085,51.8757861104701,43.70248095878136,61.07928865467192,116.54570886204296,110.67710745789284,122.60402674507364,174.99969294711934,165.14003479315627,185.59400146694517
gemma3:12b,0.8,0.7,0.2547259513613424,0.22341725075749277,0.2853759642888099,0.23638932499846646,0.20805329461976613,0.26484360204532537,0.24518541312827172,0.2161490437425865,0.27444108047935095,0.13980245507074607,0.1211699010177865,0.15904474624596981,53.767659824122944,45.01510550902062,64.22020209231088,126.6227264725288,121.27060123137905,132.4442384139437,197.00145797040426,187.82537788700387,207.0932418090101
gemma3:12b,0.8,0.8,0.1469615466377804,0.12358022980664692,0.1711902251225315,0.13638508920130998,0.1155605136028477,0.1586216528607205,0.1414586319185728,0.1196691578157169,0.16526298429175917,0.07615403935719275,0.0636426087153904,0.09007448107448107,43.27423213005511,36.96387476585496,49.696323529411764,138.96801559683104,133.52474508464198,144.70676092962782,223.08764876191998,213.84335187526497,232.7369669689605
gemma3:12b,0.8,0.9,0.10269483998395262,0.08215539184223111,0.12270152209365534,0.09529200314685407,0.07656584775585874,0.11314500320307494,0.09884292395211712,0.07955303123374269,0.11785503830288746,0.05201828744684181,0.041424227471781906,0.06261740763932373,45.69360951351209,37.73332278481013,53.89925432853193,143.04057026761305,137.859164276114,148.77973246077667,232.1024047581906,223.38664279678312,241.32180264495605
gemma3:12b,1.0,0.5,0.5108066954907595,0.4747194324628673,0.5443547415810503,0.47108586665559776,0.43876020159982704,0.5028059939477263,0.49009100208644407,0.4573811172774642,0.5214443164222369,0.32473626875314654,0.2964965125220363,0.3526714094364391,51.11952412986947,44.167847352756894,58.95337565509979,106.65412184991337,100.92887654325635,112.65763643136523,152.83099627933134,143.547152621232,162.3701404078639
gemma3:12b,1.0,0.6,0.3599668232224725,0.32543492086367,0.3937118621033319,0.3319517922682108,0.30162412993039445,0.36156153107207845,0.3453557096960903,0.31465599295813196,0.3767288680787497,0.2088348421246281,0.18670134533669,0.232080063944617,51.26098125319966,44.1296146953405,59.597276956759714,117.67881726977534,111.96953683849999,123.69299436221293,177.59484836995824,167.7711000190452,187.65349538352078
gemma3:12b,1.0,0.7,0.24405171798347386,0.21357610659439927,0.27528860593414584,0.22506171575528885,0.19716730318413986,0.25408225592996025,0.23414769783740785,0.20563987868426653,0.26358829103853915,0.13267882419503535,0.11460346016866294,0.15180057252351103,54.25307132768166,45.03963131313131,65.22554504319208,127.33743561755871,121.60649583170145,133.21851698276484,198.26792981323862,188.9543076956482,208.0976641517686
gemma3:12b,1.0,0.8,0.14281952175535992,0.119265172900494,0.16873487903225806,0.13170709877834505,0.10982658959537572,0.1556566618440806,0.13702394593774334,0.11473354422544678,0.1614267287862021,0.07359449301759781,0.06085799908365105,0.08779999766457645,42.66887236454133,37.0363425925926,48.285772357723566,139.4712507981671,133.81980562872678,145.27109478474557,223.65281378593835,214.53942701214942,232.97599688154654
gemma3:12b,1.0,0.9,0.10327236145107772,0.08208955223880597,0.12359585283537729,0.09522680930643475,0.07615343335693642,0.11329689486584614,0.09907606112038295,0.07897701803993651,0.11799906469341809,0.0521488260826729,0.04111195904261658,0.06269872800057956,45.534374441675304,38.51986301369863,53.035216447184084,143.18091004963696,137.87329455949845,148.9110536854175,231.71127619918093,223.13557675345527,241.0402462455632
gemma3:4b,0.0,0.5,0.5135279444235906,0.47642698168121894,0.5498244666290021,0.35114403304644676,0.3238304274766536,0.3795494065512594,0.4170275186432998,0.38696567068822063,0.4473341973583785,0.26356814643095755,0.2398992159255968,0.2881072003385194,68.73721416888723,59.10623383424895,80.25360032582134,116.83737989938852,111.74369822048291,122.4339972414549,150.2280842658793,143.04737605873012,157.8708903028597
gemma3:4b,0.0,0.6,0.3939809444655274,0.35451077697948297,0.4314778592889977,0.2693765117606266,0.24326751228559573,0.29559179089043813,0.3199293951660347,0.2893964642945622,0.350336305295645,0.1905268719432,0.16917798842505485,0.21236831872808312,67.96149739818543,58.06777690972222,79.94288984744657,124.6735102300361,119.57542317638618,130.0819852010767,167.10470697581164,159.5245309483591,175.1636020531401
gemma3:4b,0.0,0.7,0.29095341374729744,0.2528855789443373,0.3254323819465428,0.19892560193646278,0.17346877746313835,0.22352143035599426,0.23626110956807805,0.20660351124292942,0.26441690230173626,0.13403648560665032,0.11520236673505946,0.1523504709520028,58.71238721890113,51.03364610998281,68.02351273327146,131.24950972402695,126.15850204829077,136.83297084556887,180.78052632407594,173.2531204292147,189.02851771594905
gemma3:4b,0.0,0.8,0.16976957036391674,0.14141235678338152,0.19935449427295668,0.1160768761647008,0.09643914779842286,0.1362572462111034,0.1378603912485701,0.11478647568656536,0.1611460662879797,0.0740763903760975,0.060887784975706995,0.08763396866395015,58.59875231606148,47.80578773584906,72.0697487113402,141.81134044090913,136.932199318225,147.44122361235975,203.03303805564656,195.56039284197522,211.16287884384522
gemma3:4b,0.0,0.9,0.1144196628132714,0.09105321507760533,0.13928615849324805,0.07823429415608296,0.0621455079206824,0.09540240038991106,0.09291516407691987,0.07381230872568965,0.11277332012325994,0.04874996891749754,0.03832041361867826,0.05975610740378438,57.538656001510766,46.70710526315789,69.491935700834,144.99141723474585,139.87052032824283,150.61087579397957,209.82993898904616,202.20224904549795,218.0647650645624
gemma3:4b,0.2,0.5,0.510368656915575,0.4736797121007647,0.5450074786324787,0.34427482370889556,0.31781906711786734,0.37063038001259707,0.4111225982124721,0.381343504555216,0.4393840447340112,0.2588636353787517,0.23559260837474036,0.28154527271969665,69.46209417184456,60.182507683173846,80.94167667844522,117.18694098605346,112.30152007942871,122.56916492733457,150.49225142620864,143.56225029138818,158.27790399323223
gemma3:4b,0.2,0.6,0.38569107697014726,0.3489583333333333,0.4207055249208838,0.2601498757215681,0.23462414578587698,0.28476457199691346,0.3106739061717917,0.28062141056778894,0.3392612859097127,0.18399481049694294,0.16321094964642158,0.2042833607907743,69.64653834674348,59.56424108042733,81.87751637879687,125.18676756885674,120.30958859979914,130.44315780358656,167.78192583927174,160.41990006987615,175.69538753077356
