model,temperature,run,epsilon,f1_mean,f1_lo,f1_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi
gemma4:e4b,0.0,r1,0.7,0.11647327902010715,0.09436332084952921,0.1400742485795765,63.94167227130668,47.78656669036977,84.71347896440128,139.27188225599429,133.93504686751095,144.9045914645699
gemma4:e4b,0.0,r1,0.8,0.04961763170812699,0.03573625530690843,0.06473614602436747,49.456930246763115,39.78036336485814,60.06257849293563,147.58218363620418,142.66123108854507,153.07355216104744
gemma4:e4b,0.0,r1,0.9,0.029498643845321925,0.019103056147832267,0.04100918324159569,48.707710461735935,36.0,61.63489130434782,149.2359439597121,144.358628076842,154.5089699459359
gemma4:e4b,0.2,r1,0.5,0.397932519385442,0.3669148659113328,0.42767443407312156,65.04408373829109,57.31490576394476,73.49888178913739,121.71884171622251,116.30194414023069,127.52526497695852
gemma4:e4b,0.2,r1,0.6,0.23109095055789816,0.20109672604382475,0.2605645378547435,64.6444516823067,54.13405853537406,76.53795307233601,132.49373711503304,127.06295653335114,138.3712555857232
gemma4:e4b,0.2,r1,0.7,0.11793162162860378,0.09639808575020731,0.14134393048156887,55.20738711151639,42.52360902255639,71.26346670247045,139.11696446212713,133.91509600565115,144.7745434837415
gemma4:e4b,0.2,r1,0.8,0.05841497997312684,0.04334620095686363,0.07478992803393976,55.05873492577761,40.43996029495179,74.86573920265778,146.88723051859247,141.8838588665316,152.29049010688783
gemma4:e4b,0.2,r1,0.9,0.02505347550326112,0.014994232987312572,0.03610217041451002,46.32193205402292,30.82294117647059,62.75156249999999,149.53273401606188,144.67476371859053,154.93690901863238
gemma4:e4b,0.4,r1,0.5,0.37606417699903977,0.3442397814324744,0.4087104753133158,63.86093389629062,56.90546855809383,71.70208313629054,123.79753719708661,118.35092527330265,129.2375220118266
gemma4:e4b,0.4,r1,0.6,0.22610839155277443,0.19619847423849018,0.2565591980235652,62.871742603387816,54.22425801589477,72.64711798512508,133.59979879771853,128.20754230850557,139.45274300089642
