model,temperature,epsilon,n,w0,k,mae_raw,medae_raw,mae_cal_insample,medae_cal_insample,mae_cal_cv,medae_cal_cv
gemma3:4b,1.0,0.6,217,91.83,0.723,70.7557603686636,51.0,55.8545396260426,41.63905473966645,56.397749978892826,42.243016704907205
gemma3:4b,1.0,0.7,164,67.89,0.836,60.5,48.0,47.204559087930306,37.366223145554486,47.79712912138612,37.60740175299409
gemma3:4b,1.0,0.8,99,63.88,0.902,62.94949494949495,50.0,46.87867746548056,32.819170009919674,48.10182900802996,32.947805771772096
gemma3:4b,1.0,0.9,71,61.53,0.984,67.04225352112677,48.0,52.34449294127446,37.75784619480473,54.343162172745075,38.51098771083221
gpt-4.1,0.0,0.5,673,36.01,1.001,44.687964338781576,29.0,40.93481060402505,30.08669065956306,41.10374317085302,30.122583048710595
gpt-4.1,0.0,0.6,518,33.14,1.037,44.69498069498069,32.0,37.2955457530157,26.983697409240847,37.50577854239996,27.10173726071711
gpt-4.1,0.0,0.7,290,47.73,0.951,48.1551724137931,37.0,34.87088344820584,24.36132341511876,35.25855304061594,24.509418828408407
gpt-4.1,0.0,0.8,190,35.53,1.027,42.49473684210526,38.5,29.321219399779267,22.86491230995165,30.032603680684336,22.993109048580934
gpt-4.1,0.0,0.9,109,27.14,1.094,41.825688073394495,35.0,31.624269823439896,25.306673673147685,33.038875228834,25.67965617268152
gpt-4.1,0.2,0.5,674,35.46,0.999,43.6053412462908,28.0,40.538291862436,29.426653272829583,40.70849616778671,29.55919240220991
gpt-4.1,0.2,0.6,514,34.3,1.029,44.83852140077821,32.0,37.878432440691014,27.772067527087287,38.09459587973004,27.96828054875889
gpt-4.1,0.2,0.7,300,47.69,0.945,47.26,35.5,35.35525427483821,25.619795481896936,35.71312296555537,25.909710269537598
gpt-4.1,0.2,0.8,190,33.77,1.032,41.05263157894737,34.0,29.475737081498536,25.797522487334092,30.15517938727077,26.04833496543135
gpt-4.1,0.2,0.9,111,24.53,1.111,40.585585585585584,33.0,31.884668243567052,26.596293891745574,33.19550000124878,28.620677571731107
gpt-4.1,0.4,0.5,678,31.52,1.041,43.75368731563422,28.0,39.38505385905882,27.592649425090386,39.54281750964596,27.78081089671017
gpt-4.1,0.4,0.6,513,37.07,1.024,46.64717348927875,33.0,38.66518484268253,29.26768016835763,38.88162066058201,29.43046950325551
gpt-4.1,0.4,0.7,294,50.75,0.922,48.085034013605444,39.0,34.694983230989735,25.052005609549823,35.069294833479454,25.28801502566626
gpt-4.1,0.4,0.8,184,39.1,0.987,42.18478260869565,39.0,29.51447811182075,23.5,30.27141629229362,23.613546033677167
gpt-4.1,0.4,0.9,106,29.87,1.072,42.509433962264154,34.5,31.73605093374048,24.581405810786322,33.217666658659184,24.820751118421413
gpt-4.1,0.6,0.5,665,35.3,1.006,43.98045112781955,29.0,39.591918603614594,29.584756265216498,39.74701925338423,29.679715175425912
gpt-4.1,0.6,0.6,505,34.17,1.045,46.499009900990096,33.0,38.17369657234249,28.413662286090585,38.38165558469935,28.57270012467474
gpt-4.1,0.6,0.7,290,52.18,0.912,49.182758620689654,38.0,35.66973066906814,24.933688359281767,36.07882602366773,25.018995740288453
gpt-4.1,0.6,0.8,187,25.21,1.134,44.01604278074866,39.0,30.214077506356706,23.952828913563224,30.83342821788425,24.08170160627577
gpt-4.1,0.6,0.9,104,23.2,1.151,44.29807692307692,37.0,30.50109431549685,21.7714140989504,31.69040270757766,22.061316745585998
gpt-4.1,0.8,0.5,667,33.34,1.019,43.64917541229385,26.0,39.952217184130824,29.308358103895827,40.11611839977114,29.47434765879541
gpt-4.1,0.8,0.6,512,35.99,1.022,45.40625,30.0,38.70854352479141,29.093247267321317,38.9280867199559,29.22486769190219
gpt-4.1,0.8,0.7,297,39.05,1.038,48.676767676767675,40.0,35.917835597153456,27.229030568758674,36.31439327859718,27.386300286221285
gpt-4.1,0.8,0.8,181,30.93,1.066,43.0939226519337,40.0,31.109673214450222,25.242823127407902,31.89117160859115,25.427443973576075
gpt-4.1,0.8,0.9,101,16.6,1.197,44.15841584158416,35.0,35.76553711320557,32.430847051178034,37.35746439317965,33.068584162092975
gpt-4.1,1.0,0.5,659,34.7,1.008,43.47647951441578,28.0,39.59619252708815,29.552988180475666,39.756777068286794,29.65706835698566
gpt-4.1,1.0,0.6,486,30.74,1.083,46.516460905349795,33.0,37.388741767155054,27.293053488678993,37.60887824449444,27.325593621624705
gpt-4.1,1.0,0.7,296,49.31,0.939,47.90878378378378,38.5,34.180496831836635,24.32677649895713,34.55094278572917,24.531151996386264
gpt-4.1,1.0,0.8,174,59.35,0.781,40.189655172413794,37.5,25.905345752300228,23.308281910394683,26.306594964261677,23.4901726996858
gpt-4.1,1.0,0.9,99,47.13,0.899,38.0,33.0,26.248649817980347,24.059362596841055,26.92134577007666,24.30535285014338
gpt-4o,0.0,0.5,654,22.04,0.985,34.6131498470948,19.0,35.2774614845148,20.21847017899077,35.447861639944406,20.44742692044285
gpt-4o,0.0,0.6,458,26.63,0.99,39.72052401746725,28.0,38.7897396358396,25.40883971760735,39.08847261613117,25.605571295036512
gpt-4o,0.0,0.7,316,26.74,0.984,37.99683544303797,28.5,35.35617284054442,24.69732655115041,35.68019682021779,24.853482250323907
gpt-4o,0.0,0.8,206,21.66,1.011,34.91747572815534,26.5,32.03605988688259,23.390635024959735,32.56624506120947,23.520700508864834
gpt-4o,0.0,0.9,134,2.49,1.181,33.75373134328358,23.0,32.794090503765254,25.14293564293689,33.75347765566734,25.495535373381585
gpt-4o,0.2,0.5,661,21.09,1.003,34.99243570347958,19.0,35.63569051845617,21.41407023166505,35.8101006050968,21.631254447685905
gpt-4o,0.2,0.6,463,25.46,1.003,39.751619870410366,28.0,38.63622787801029,25.852141024928073,38.94091600427931,26.038271980049558
gpt-4o,0.2,0.7,322,32.53,0.951,39.45962732919255,30.0,36.068153555982974,26.432973666597718,36.40222542126443,26.6105763731925
gpt-4o,0.2,0.8,206,21.24,1.026,34.69417475728155,25.0,32.46781450465405,24.499814312274054,33.01991797637426,24.805099034270526
gpt-4o,0.2,0.9,132,4.09,1.177,34.52272727272727,22.5,33.45729528066823,26.22002029830074,34.507566014594005,26.422484265354967
gpt-4o,0.4,0.5,653,22.5,0.979,34.9509954058193,19.0,35.84599752737775,20.452011139335085,36.02188941368077,20.557675168060598
gpt-4o,0.4,0.6,464,32.64,0.935,39.560344827586206,27.5,38.66563365262629,24.490738646024255,38.969414043241784,24.717847806764212
gpt-4o,0.4,0.7,321,24.18,1.026,41.21183800623053,30.0,38.49640594020075,27.372858968413198,38.84999652371696,27.469626850755844
