model,temperature,epsilon,n,w0,k,mae_raw,medae_raw,mae_cal_insample,medae_cal_insample,mae_cal_cv,medae_cal_cv
llava-phi3:3.8b,0.0,0.5,321,90.35,0.464,71.71028037383178,50.0,70.16226441507995,59.0226842467394,70.56320568836327,59.53922178530891
llava-phi3:3.8b,0.0,0.6,159,117.43,0.3,72.23270440251572,53.0,60.97369534760402,47.40434787402185,61.83171654827195,48.27385131752075
llava-phi3:3.8b,0.0,0.7,106,113.99,0.209,66.78301886792453,45.0,55.363392241796824,39.48187158481991,56.469520523159176,39.77548899099867
llava-phi3:3.8b,0.0,0.8,80,92.08,0.316,56.5875,45.0,46.17807298201673,40.02380208366499,47.14798234753152,40.33152980232128
llava-phi3:3.8b,0.0,0.9,28,92.78,0.417,47.214285714285715,40.0,35.819596632233946,35.52536058840388,38.92769966391636,38.55251484610328
llava-phi3:3.8b,0.2,0.5,307,88.84,0.456,69.32247557003258,50.0,65.15208236389974,56.65835976394263,65.57791858075457,56.97034013622125
llava-phi3:3.8b,0.2,0.6,157,117.52,0.272,74.63694267515923,51.0,59.54682401373286,44.99792638500614,60.2688645476937,45.61946592338987
llava-phi3:3.8b,0.2,0.7,103,113.92,0.203,70.05825242718447,50.0,52.849943398470494,37.766809300364685,53.74969668384226,38.31330729108214
llava-phi3:3.8b,0.2,0.8,78,93.86,0.245,54.666666666666664,45.5,40.853439296937346,40.268669286392,41.96592969389351,43.237632252714654
llava-phi3:3.8b,0.2,0.9,27,132.13,0.086,68.88888888888889,64.0,28.76990686937566,22.38656172987055,31.22915368986655,24.949667992248777
llava-phi3:3.8b,0.4,0.5,257,121.72,0.292,86.284046692607,57.0,80.31760976503406,72.48507894736935,81.01322510584788,73.10139852896606
llava-phi3:3.8b,0.4,0.6,131,121.05,0.374,78.93129770992367,48.0,67.99145754966247,46.822949520714445,68.93784998952678,47.297458577107506
llava-phi3:3.8b,0.4,0.7,82,129.84,0.21,81.36585365853658,48.5,66.96272998192231,45.80511907152584,68.61821112127834,46.755943487035
llava-phi3:3.8b,0.4,0.8,65,87.03,0.367,55.56923076923077,45.0,43.677871021977886,39.24263863407019,44.95298424712736,39.86502775468037
llava-phi3:3.8b,0.4,0.9,19,113.17,0.268,55.26315789473684,50.0,29.20628635225148,28.21857869230159,32.34629897969393,31.232719595868218
llava-phi3:3.8b,0.6,0.5,243,105.33,0.467,86.49218106995885,56.0,77.35686226199688,65.34686454551148,77.9894719571266,65.82992872116033
llava-phi3:3.8b,0.6,0.6,115,123.06,0.37,91.16634782608695,61.0,73.4541960097333,52.93323820386871,75.15572291564,53.13847747915864
llava-phi3:3.8b,0.6,0.7,70,93.38,0.509,74.49971428571428,59.0,57.801714728095966,44.96230008637801,60.44954235575749,45.21307160181571
llava-phi3:3.8b,0.6,0.8,56,79.59,0.498,65.56375,47.0,52.5133488415399,47.0,55.73628343973326,49.08798983781139
llava-phi3:3.8b,0.6,0.9,23,132.82,0.116,80.30434782608695,61.0,39.92314350537638,35.73071376122337,44.88285880712872,37.426509119077224
llava-phi3:3.8b,0.8,0.5,195,103.99,0.392,91.53923076923077,65.0,66.13207549122616,54.224770093339984,67.24043220550699,54.25247459448231
llava-phi3:3.8b,0.8,0.6,105,128.53,0.291,95.88495238095238,73.0,59.437696770631796,45.60990522302126,61.695418722799815,46.05157334878564
llava-phi3:3.8b,0.8,0.7,64,133.44,0.159,91.84609375,69.5,56.754074498965444,42.73654057365944,61.74325894802193,43.27689725847897
llava-phi3:3.8b,0.8,0.8,36,124.13,0.101,87.64305555555556,63.0,45.605927125865435,38.3024339787879,57.67689125946208,40.18481895048423
llava-phi3:3.8b,0.8,0.9,14,141.63,0.1,79.28571428571429,71.0,23.654767165867213,19.5,27.661118723114612,24.341974789885654
llava-phi3:3.8b,1.0,0.5,160,102.96,0.428,80.67325687499999,56.0,70.27374769521842,58.920966575077024,71.32228236116399,59.63455363947368
llava-phi3:3.8b,1.0,0.6,88,140.67,0.098,91.2325,63.5,68.75475908230551,49.975313030500544,70.2286581134772,51.48156630571535
llava-phi3:3.8b,1.0,0.7,51,135.08,0.02,92.18235294117648,70.0,61.39642959718549,43.89339559591417,63.4022635593875,45.798297627989854
llava-phi3:3.8b,1.0,0.8,34,99.59,0.139,73.39970588235295,53.795,44.37807145337928,44.08422722033473,46.80306245538935,47.07174665149018
llava-phi3:3.8b,1.0,0.9,11,154.69,-0.085,97.36363636363636,78.0,22.282920780787286,12.242069960758897,27.495918525841912,13.989797163187546
llava:13b,0.0,0.5,170,54.18,0.76,51.90294117647059,41.0,50.53064643910153,40.79707194275355,51.2149084293857,41.60530269920413
llava:13b,0.0,0.6,109,91.74,0.518,58.18807339449541,51.0,48.91276738263574,42.59752241411965,49.937506426010465,43.42211836004111
llava:13b,0.0,0.7,75,103.04,0.385,55.54666666666667,51.0,43.37082590721176,40.17402145424094,44.73963593617656,40.98705109431097
llava:13b,0.0,0.8,46,107.74,0.229,52.27173913043478,48.5,37.31051845654527,28.746373378628462,38.989049549009835,30.974451291293178
llava:13b,0.0,0.9,24,130.37,0.046,56.6875,49.0,34.51234362359953,26.04742999481323,37.727166102747795,27.18465723030863
llava:13b,0.2,0.5,163,67.02,0.667,53.40490797546012,42.0,51.46512046178123,44.35922541610009,52.2540636322002,45.064031850103135
llava:13b,0.2,0.6,103,114.15,0.325,60.13592233009709,51.0,49.54132061878398,42.025106457786706,50.71995015469921,42.689888110422345
llava:13b,0.2,0.7,70,109.88,0.321,55.65,51.0,44.57395666460277,36.04889212493835,46.07887912898812,37.19032168422194
llava:13b,0.2,0.8,47,111.54,0.232,50.03191489361702,49.0,37.625032921471856,26.29082588909253,39.67387733938724,26.97556273429086
llava:13b,0.2,0.9,25,125.62,0.191,55.62,49.0,40.12190278971488,32.712718420963284,44.698213529549975,35.43755440092767
llava:13b,0.4,0.5,143,69.18,0.579,54.03846153846154,39.0,52.63385315111617,42.11863750359291,53.43675131821786,42.61072250129078
llava:13b,0.4,0.6,88,134.93,0.098,61.99431818181818,46.5,48.27983558792603,41.90613227241812,49.32680463627741,42.74315109382124
llava:13b,0.4,0.7,58,140.94,0.065,61.68103448275862,46.5,48.33498233600788,40.60508816379196,49.80599777045107,43.89289362263864
llava:13b,0.4,0.8,39,144.41,-0.009,56.11538461538461,37.0,44.432647187207834,32.57372212211689,46.41973321816444,33.88244572131728
llava:13b,0.4,0.9,22,113.58,0.264,57.75,37.5,50.01261548550848,32.83821599346534,54.06432132053024,35.48714265306715
llava:13b,0.6,0.5,136,90.78,0.424,63.19485294117647,47.5,56.8010958123113,49.988942787417585,57.91836304953182,50.86558825882449
llava:13b,0.6,0.6,85,102.71,0.377,67.25882352941177,50.0,55.14964453375016,48.794652447632984,56.91095337480584,50.87508081347167
llava:13b,0.6,0.7,53,115.05,0.231,62.679245283018865,48.0,42.24310915026913,37.348460704952515,43.883993463485155,38.37830757139113
llava:13b,0.6,0.8,28,118.32,0.145,66.57142857142857,57.0,30.202374222724703,22.5,32.018749508786144,23.696666005159756
llava:13b,0.6,0.9,15,122.03,0.168,70.26666666666667,61.0,24.968692449355444,20.22651933701661,29.370030474450125,23.669585253456205
llava:13b,0.8,0.5,139,106.79,0.279,65.42446043165468,50.0,53.760262017350236,48.50766570166775,54.504895345017545,49.45919759676032
llava:13b,0.8,0.6,79,134.63,0.104,67.92405063291139,51.0,47.75916273071259,40.21863097583403,48.917435980059665,40.901901129436965
llava:13b,0.8,0.7,51,133.18,0.128,63.88235294117647,48.0,46.26765358270495,38.24164565327908,48.05719175964041,40.90083369939191
llava:13b,0.8,0.8,27,104.42,0.241,48.407407407407405,43.0,31.40120422848921,23.595035986251105,33.51958013611532,24.504309239719987
llava:13b,0.8,0.9,16,111.06,0.146,57.3125,58.5,33.334801034089814,22.13456830718816,37.75199022088238,24.01839905830004
llava:13b,1.0,0.5,128,98.42,0.408,64.08203125,49.5,53.533933751985906,46.203783048981926,54.57218272730066,47.13342614406842
llava:13b,1.0,0.6,83,99.7,0.412,64.49397590361446,54.0,51.40025498861352,46.82747175981444,52.82139941806982,48.618671516327
llava:13b,1.0,0.7,43,81.76,0.575,56.0,47.0,45.299784613895916,32.718244040473195,47.89935616970778,34.711242616495554
llava:13b,1.0,0.8,21,77.86,0.351,46.166666666666664,47.0,33.76184094449763,24.609656537786236,37.99405509369552,28.792156715787527
llava:13b,1.0,0.9,11,80.91,0.463,40.13636363636363,24.0,31.456490034030136,23.9197860962567,37.91338403293956,29.242782773308022
llava:7b,0.0,0.5,318,80.33,0.688,66.21698113207547,41.0,63.526664148343926,55.710198575797705,63.97477150205809,55.96374504584698
llava:7b,0.0,0.6,160,123.32,0.426,88.75625,55.0,67.38123038202957,54.81350340976104,68.32105649149001,55.49455210894646
llava:7b,0.0,0.7,95,129.0,0.293,83.38947368421053,51.0,55.089820599721286,46.3012579277389,56.4253271938076,46.95648283170215
llava:7b,0.0,0.8,71,146.89,0.012,86.25352112676056,55.0,42.47853970058321,33.09808571096923,43.624299676834156,34.20294716854784
llava:7b,0.0,0.9,30,156.99,-0.097,109.6,125.5,40.719753477884616,31.81199491113422,43.835735723663745,32.75297658364916
llava:7b,0.2,0.5,319,76.78,0.746,66.24451410658307,44.0,61.61485509914242,55.327504717118586,62.02972912585139,55.560972883380686
llava:7b,0.2,0.6,175,114.98,0.468,82.21714285714286,51.0,64.53287790231951,52.08424564799273,65.30294227776557,52.423475353447316
llava:7b,0.2,0.7,108,124.8,0.28,77.60185185185185,51.5,50.60631945212162,44.09310273107239,51.579866470229994,44.52987844147481
llava:7b,0.2,0.8,66,135.16,0.092,82.87878787878788,55.5,41.91705039693251,35.75034400061247,43.14220014440587,36.972579879682755
llava:7b,0.2,0.9,31,149.99,0.105,109.09677419354838,115.0,41.31321061297479,35.902649707874644,43.98781709004657,37.6756266484507
llava:7b,0.4,0.5,301,93.8,0.525,68.32225913621262,46.0,62.554513609055995,54.80816042881685,63.00217922829831,54.92725567078496
llava:7b,0.4,0.6,182,121.06,0.295,73.41208791208791,51.0,57.363182272650704,47.34056339953102,58.069231895094106,47.96278528842426
llava:7b,0.4,0.7,109,115.74,0.296,69.06422018348624,51.0,49.02816415633324,41.95629002172015,50.05181151340677,42.534756371109296
llava:7b,0.4,0.8,71,127.54,0.117,73.77464788732394,55.0,41.409991557931775,32.768227216911725,42.66067195657017,33.262190733243386
llava:7b,0.4,0.9,31,130.94,0.167,83.2258064516129,57.0,38.644455375084874,25.943871128989798,41.628937046253526,27.084430658044596
llava:7b,0.6,0.5,255,102.3,0.457,70.19019607843137,50.0,61.98940907252526,55.96121008488498,62.412344436929736,56.26278192125764
llava:7b,0.6,0.6,147,119.99,0.35,77.90816326530613,56.0,62.21128769017838,50.03321034224348,63.05781721759161,49.906328931551656
llava:7b,0.6,0.7,79,124.5,0.312,81.56962025316456,64.0,59.21010184227954,47.94782744283293,60.94341787159155,48.59959690835032
llava:7b,0.6,0.8,43,128.06,-0.023,73.30232558139535,64.0,36.29760463932018,30.44805778303521,37.91850529497855,31.041238980799406
llava:7b,0.6,0.9,18,139.85,-0.029,97.33333333333333,92.0,39.01710409110527,37.307202179979086,43.703405117290615,41.39554740472671
llava:7b,0.8,0.5,213,95.82,0.489,68.16197183098592,46.0,60.49192059467266,54.17733306635802,61.14047680372422,54.67917279671451
llava:7b,0.8,0.6,124,97.48,0.522,69.15322580645162,48.5,53.85178767238705,41.83413745240125,54.88758681751025,42.14265076477224
llava:7b,0.8,0.7,76,95.35,0.563,66.88157894736842,46.0,52.909009379518146,40.822931448150314,54.80894111047839,42.37043245136036
llava:7b,0.8,0.8,44,115.77,0.349,70.63636363636364,52.5,45.19664738023048,37.92837985058851,47.31060717553657,39.02524133259869
llava:7b,0.8,0.9,24,140.18,0.245,85.625,81.0,45.87408077534417,43.577875948331055,49.58611282680764,47.82612339725297
llava:7b,1.0,0.5,181,91.35,0.44,67.06906077348066,49.0,56.20538026689322,47.293354015109,56.85012757531127,48.38681719416945
llava:7b,1.0,0.6,114,105.18,0.353,71.4342105263158,48.0,51.224544585278565,40.38578073014732,52.24595100306385,43.43025856260929
llava:7b,1.0,0.7,63,104.76,0.304,66.23015873015873,55.0,43.74017157968893,38.42058909620167,45.51287619671733,39.83550097772516
llava:7b,1.0,0.8,26,82.51,0.28,47.48076923076923,35.0,32.54794252875947,26.63975190036158,35.994295492443705,29.919214971064967
minicpm-v:8b,0.0,0.5,128,69.28,0.533,54.50390625,44.0,53.148471904982834,45.32045271921609,53.86540542025793,47.29382744467915
minicpm-v:8b,0.0,0.6,82,107.24,0.346,55.81707317073171,44.0,53.04924984655528,44.971159059037774,54.23978975440379,46.386177265985324
minicpm-v:8b,0.0,0.7,53,110.02,0.392,57.84905660377358,44.0,54.20006276342959,42.772404422788554,55.97948135518378,43.990082695378135
minicpm-v:8b,0.0,0.8,29,121.09,0.4,64.24137931034483,42.0,60.16132905207319,42.931983805667926,64.12755837318636,46.56913070844115
minicpm-v:8b,0.0,0.9,20,77.56,0.858,72.95,46.0,67.06876908497414,39.98748727668374,72.7756353095167,45.07229252799448
minicpm-v:8b,0.2,0.5,85,90.9,0.48,66.05882352941177,52.0,60.10909063085754,47.08122530054479,61.4800813555465,49.83202779079926
minicpm-v:8b,0.2,0.6,55,121.01,0.324,65.8,51.0,50.36678879816497,38.38532974849147,51.94636784051456,39.23979266820638
minicpm-v:8b,0.2,0.7,33,115.17,0.219,52.333333333333336,41.0,33.71944745436465,24.046192491781994,35.54620597486439,26.949101524410537
minicpm-v:8b,0.2,0.8,22,113.74,0.358,52.81818181818182,45.5,33.86928344339196,24.471307909584212,38.25390817827345,29.961616886253573
minicpm-v:8b,0.2,0.9,11,97.93,0.658,62.54545454545455,51.0,26.800171150820915,27.467462249705306,31.592911198079868,36.09277180572583
minicpm-v:8b,0.4,0.5,111,110.13,0.285,73.6891891891892,59.0,58.07156375089846,47.345381370942334,58.96038530691523,48.66373722156695
minicpm-v:8b,0.4,0.6,67,126.85,0.192,74.6268656716418,54.0,55.4017281065199,32.040359242126385,56.94673065148879,34.23896991603496
minicpm-v:8b,0.4,0.7,33,133.95,0.094,67.42424242424242,55.0,39.992609434412685,33.17489936412687,42.95816853914758,34.24693624696056
minicpm-v:8b,0.4,0.8,22,143.66,0.074,70.95454545454545,54.5,41.64861964475418,34.58332459557215,45.54026305592321,37.59070597084721
minicpm-v:8b,0.4,0.9,14,138.29,0.175,76.14285714285714,62.0,48.48732810301417,39.49607275527919,56.7687134838225,45.53858163119001
minicpm-v:8b,0.6,0.5,148,92.02,0.351,60.17702702702703,46.5,46.006052180403174,37.68156967492085,46.6367122204485,38.24340765192994
minicpm-v:8b,0.6,0.6,102,93.47,0.334,57.970588235294116,51.5,39.526518380514034,33.14457328613045,40.288109315350475,33.86299740489761
minicpm-v:8b,0.6,0.7,61,111.95,0.183,58.66393442622951,52.0,31.776254319483563,26.11577432103411,32.84655192805387,26.334438633102252
minicpm-v:8b,0.6,0.8,42,112.03,0.162,56.29761904761905,48.0,34.486484569102444,29.62102198664931,36.4762859538533,30.61863883023082
minicpm-v:8b,0.6,0.9,20,160.2,-0.17,52.375,51.0,28.87254290060602,20.66046343120054,32.40557848676958,23.921448505932588
minicpm-v:8b,0.8,0.5,157,103.79,0.27,73.84331210191083,65.0,53.10372828004861,46.69660317300247,53.60903098667481,47.289375403594136
minicpm-v:8b,0.8,0.6,107,98.73,0.273,67.95514018691588,60.0,45.97411550996978,39.13611781990727,46.637726052785155,39.37460003015424
minicpm-v:8b,0.8,0.7,63,118.78,0.199,69.72222222222223,61.0,45.11338444653631,39.669552022093484,46.4643706558228,40.34953958041871
minicpm-v:8b,0.8,0.8,30,97.67,0.237,57.78333333333333,43.5,39.392510422509716,34.827282901990294,42.21525770488808,37.71149699612733
minicpm-v:8b,0.8,0.9,11,150.12,-0.103,53.63636363636363,55.0,33.26785590016007,23.672237815769392,41.444426483187634,34.76286155884304
minicpm-v:8b,1.0,0.5,183,116.83,0.297,83.20448087431694,60.0,58.300897925485955,44.26969343956597,58.96522106438095,44.58874539777514
minicpm-v:8b,1.0,0.6,135,130.65,0.212,84.60755555555556,60.0,56.43196568702878,39.58314112797291,57.17444427924522,40.20539617279786
minicpm-v:8b,1.0,0.7,76,125.33,0.241,77.24368421052633,60.0,42.403805070748724,30.159451041258848,43.542625434389414,30.27121326552124
minicpm-v:8b,1.0,0.8,45,125.38,0.247,79.22266666666667,58.0,39.27778529859931,25.49777307285717,41.16680293651047,27.267235140462986
minicpm-v:8b,1.0,0.9,25,128.22,0.296,88.8008,61.0,47.820030833452456,21.68109179423476,53.101731104963335,22.56028700719105
ministral-3:14b,0.0,0.5,357,61.96,0.611,51.38375350140056,33.0,50.5376662788542,36.83317448233865,50.89589757313384,37.002682086374335
ministral-3:14b,0.0,0.6,241,58.56,0.62,46.46473029045643,34.0,43.05317453764042,31.53753128302739,43.50114195367019,32.20451165596995
ministral-3:14b,0.0,0.7,106,70.14,0.543,48.405660377358494,39.0,43.44528639460504,28.92129725665096,44.200362105283695,29.729749135531534
ministral-3:14b,0.0,0.8,38,66.2,0.465,37.1578947368421,36.5,30.860588924344626,27.91481197237141,32.58159162197237,28.67025748817659
ministral-3:14b,0.2,0.5,357,70.32,0.535,51.63865546218487,31.0,50.24854801520654,36.54080469631833,50.595759864798175,36.561618555146794
ministral-3:14b,0.2,0.6,230,55.71,0.656,45.89565217391304,30.5,44.60962370161542,32.68800471397523,45.07975371085375,32.91786595433729
ministral-3:14b,0.2,0.7,112,91.62,0.425,52.25,34.0,47.841383663635874,30.028956726812943,48.80576290330764,30.67526091403832
ministral-3:14b,0.2,0.8,48,59.29,0.525,33.916666666666664,32.0,27.671291577046066,26.11010530114953,28.92989718256582,26.742800818776175
ministral-3:14b,0.2,0.9,12,13.31,1.093,33.25,26.5,29.238705501618114,26.597203883495197,36.28267735967814,29.82827751400484
ministral-3:14b,0.4,0.5,363,65.24,0.582,51.09366391184573,34.0,49.37916938910777,37.07201729469557,49.70098411334187,37.40439956282893
ministral-3:14b,0.4,0.6,241,62.34,0.586,46.80497925311203,33.0,42.52315693528534,31.38724627929551,43.004498852233745,31.521198979015907
ministral-3:14b,0.4,0.7,104,60.52,0.639,48.70192307692308,36.0,46.48079272530773,29.59029881137215,47.63681840171421,29.337282324708355
ministral-3:14b,0.4,0.8,35,73.05,0.447,38.628571428571426,34.0,34.087635897791,32.11754726126995,36.23341370080474,33.06312375249499
ministral-3:14b,0.6,0.5,377,70.96,0.533,53.02917771883289,34.0,50.930465134052014,37.35869266085547,51.2842573049348,37.69357048912124
ministral-3:14b,0.6,0.6,249,64.73,0.61,51.07630522088353,35.0,48.78253175334158,37.82228175242622,49.25289701931282,38.15940804427521
ministral-3:14b,0.6,0.7,107,87.62,0.464,57.22429906542056,36.0,50.18890891591054,32.35497318667555,51.202025235774734,31.111877285547735
ministral-3:14b,0.6,0.8,33,80.99,0.336,36.54545454545455,28.0,25.616574210347558,23.393939393939434,27.538608665414408,24.378300421566365
ministral-3:14b,0.8,0.5,343,69.2,0.569,55.629737609329446,34.0,54.505407470647945,41.663877823938975,54.85375856085564,41.87264957844104
ministral-3:14b,0.8,0.6,222,76.62,0.515,54.527027027027025,35.5,50.42909653289814,36.25154520418742,51.030493241365704,36.426327730356434
ministral-3:14b,0.8,0.7,111,70.7,0.535,53.027027027027025,34.0,48.14288157791932,34.90235246731481,49.369906675524554,35.22619525031175
ministral-3:14b,0.8,0.8,37,7.17,0.934,39.2972972972973,29.0,38.850490349971345,24.277890366269617,43.79552933002982,25.149952635756108
ministral-3:14b,1.0,0.5,311,77.96,0.503,56.508038585209,40.0,49.91343643548028,39.39208304385653,50.25243616291071,39.753907675392156
ministral-3:14b,1.0,0.6,198,73.66,0.527,52.843434343434346,37.0,47.49002950270236,35.75732693427602,48.0519005286747,35.873744892628224
ministral-3:14b,1.0,0.7,77,80.6,0.464,47.66233766233766,38.0,40.75065163279045,35.77933977657841,42.030568894632985,36.481596905056165
ministral-3:14b,1.0,0.8,29,82.27,0.466,36.41379310344828,34.0,33.73885117464103,33.85777197847011,35.837663524364885,34.500831946755426
ministral-3:3b,0.0,0.5,375,62.96,0.742,57.522666666666666,39.0,56.64878826850548,43.483294104782985,57.03365378417131,43.504031380697924
ministral-3:3b,0.0,0.6,256,50.61,0.805,49.11328125,35.0,46.433765654198595,35.148079824804,46.9256955611101,35.396409482121044
ministral-3:3b,0.0,0.7,127,46.34,0.827,46.62992125984252,34.0,43.76965353325876,29.55729103292714,45.00779893856786,29.703145164631678
ministral-3:3b,0.0,0.8,58,4.9,1.128,45.741379310344826,33.5,44.06767764126366,28.824232622566754,47.7872842913383,29.67381196853234
ministral-3:3b,0.0,0.9,20,82.12,0.457,29.3,28.5,23.028320353171466,15.850485194285937,27.320150998437565,16.842768833894993
ministral-3:3b,0.2,0.5,367,68.09,0.707,58.07765667574932,38.0,56.90373579612424,42.18477250446858,57.284989221084636,42.869900516352686
ministral-3:3b,0.2,0.6,253,55.83,0.752,47.930830039525695,34.0,45.16329249191734,34.42016928725943,45.64854234453365,34.44159729234826
ministral-3:3b,0.2,0.7,125,37.22,0.913,46.084,34.0,42.9633472642196,29.305427947236808,44.16917433928881,29.145039961508417
ministral-3:3b,0.2,0.8,59,-0.91,1.174,46.016949152542374,35.0,46.69223954082935,28.13479698774364,50.26477697646962,28.696034836762806
ministral-3:3b,0.2,0.9,27,119.52,0.176,32.96296296296296,34.0,21.639649869094004,19.54082784905765,23.31391766193676,23.538013328051022
ministral-3:3b,0.4,0.5,361,74.9,0.636,54.96952908587257,36.0,54.35733799595035,42.47850031725301,54.69029525857273,42.574636760500255
ministral-3:3b,0.4,0.6,244,68.36,0.621,45.51639344262295,34.0,42.338545078907195,34.26097736776552,42.715512067712076,34.491778239829415
ministral-3:3b,0.4,0.7,121,81.41,0.516,40.17355371900826,28.0,35.509007799781735,29.050130735648537,36.1492858988015,29.369341875482974
ministral-3:3b,0.4,0.8,46,68.11,0.595,34.02173913043478,28.0,29.578482872255503,26.84920768005366,30.96217116407152,28.62531461920245
ministral-3:3b,0.4,0.9,21,75.45,0.52,26.80952380952381,24.0,23.562430044182616,19.415773195876255,26.189861442754694,21.50000000000003
ministral-3:3b,0.6,0.5,342,80.06,0.622,58.18567251461988,42.0,55.45369672604224,43.26337280112544,55.81718277289357,43.593991667901975
ministral-3:3b,0.6,0.6,241,83.72,0.588,53.545643153526974,38.0,50.26258860885214,40.299582697755284,50.7452561384025,40.63871550409701
ministral-3:3b,0.6,0.7,128,81.03,0.545,42.73046875,34.5,36.68955576897319,32.40780036155517,37.404400211610316,32.91735717854089
ministral-3:3b,0.6,0.8,49,95.68,0.43,42.04081632653061,36.0,35.177976917683274,30.18445080879343,36.8910215299402,31.579522363045925
ministral-3:3b,0.6,0.9,20,94.46,0.365,34.5,33.0,26.967254337941917,20.45423896569855,30.386149081519182,26.166814943644304
ministral-3:3b,0.8,0.5,343,78.51,0.583,58.44897959183673,44.0,53.85517551197483,40.95936684934691,54.178764224475806,41.30524229322316
ministral-3:3b,0.8,0.6,209,88.97,0.508,52.038277511961724,40.0,44.08887690999504,33.09647032100088,44.604860222485954,33.46869531807869
ministral-3:3b,0.8,0.7,105,114.11,0.327,54.60952380952381,42.0,43.21865765940703,29.174271746808984,44.09061854407908,29.612581174080503
ministral-3:3b,0.8,0.8,32,119.68,0.236,50.59375,49.0,33.404402982841425,26.31956941178703,35.39378377403667,27.78345332523834
ministral-3:3b,0.8,0.9,15,112.37,0.236,50.86666666666667,49.0,29.128457768024376,19.919806701798166,33.94737571717425,21.434684644883106
ministral-3:3b,1.0,0.5,320,101.75,0.448,67.05625,48.5,58.504649275865916,44.22002800755956,58.94018823582549,44.389198233810546
ministral-3:3b,1.0,0.6,191,106.36,0.456,63.725130890052355,46.0,52.928983437828215,37.99439600515743,53.48618967133734,38.26225010659911
ministral-3:3b,1.0,0.7,89,121.57,0.334,64.80898876404494,43.0,52.22501629166173,37.27788463634721,53.3901993993065,37.782504249574515
ministral-3:3b,1.0,0.8,29,130.96,0.117,49.689655172413794,42.0,32.51989815397494,27.499038237704696,35.53438884161802,29.285646681943746
ministral-3:3b,1.0,0.9,10,142.94,0.063,54.1,36.5,35.901168839116316,32.0,48.72950009170641,36.35878181059658
ministral-3:8b,0.0,0.5,393,60.08,0.602,47.28498727735369,25.0,47.42480699757835,33.65622257547676,47.727247958018395,34.094414403257474
ministral-3:8b,0.0,0.6,248,78.05,0.479,46.854838709677416,28.5,44.92515939745288,31.272410167171103,45.40417224012129,31.947111444678626
ministral-3:8b,0.0,0.7,132,91.04,0.384,45.75,34.0,39.06659628440209,29.52660320585352,39.768394439830544,29.310531142906598
ministral-3:8b,0.0,0.8,50,103.39,0.261,39.88,29.5,32.56059337623097,29.408448519145082,34.101114106751396,30.192116418736617
ministral-3:8b,0.0,0.9,17,161.08,-0.021,44.11764705882353,43.0,39.63482818870122,36.02970297029711,44.96269074483223,47.04371584699447
ministral-3:8b,0.2,0.5,399,66.73,0.567,51.661654135338345,29.0,50.56569508071903,36.490281452844926,50.873585853528795,37.06026847549583
ministral-3:8b,0.2,0.6,254,68.94,0.525,47.93700787401575,32.0,42.635326836668206,31.246885175318212,43.07092318726129,31.35435727611251
ministral-3:8b,0.2,0.7,136,99.44,0.347,44.580882352941174,31.5,36.143005787866734,26.5127207981337,36.86974823918736,26.71922945633699
ministral-3:8b,0.2,0.8,45,97.82,0.349,38.333333333333336,39.0,30.64102792235716,27.27866008274387,32.353167237052055,28.186053994422792
ministral-3:8b,0.2,0.9,20,160.03,-0.016,36.3,27.5,26.642495784148405,24.5,29.77712845283879,26.44751213592231
ministral-3:8b,0.4,0.5,395,62.87,0.576,50.41772151898734,26.0,48.33480227306801,35.28380580715634,48.68997516148509,35.227024931603665
ministral-3:8b,0.4,0.6,261,85.93,0.436,53.724137931034484,34.0,48.92792221170038,35.57352155626626,49.501713497794164,35.8140837505355
ministral-3:8b,0.4,0.7,136,115.4,0.268,54.404411764705884,37.0,47.276381630181234,32.85082539776113,48.106895797355044,33.56980065483131
ministral-3:8b,0.4,0.8,54,158.08,-0.116,44.7037037037037,35.0,38.12557340697273,32.0,39.6843249185115,32.65217470217233
ministral-3:8b,0.4,0.9,24,166.32,-0.105,44.708333333333336,36.0,41.992358661964296,37.5,45.83942797194072,39.810245064669814
ministral-3:8b,0.6,0.5,346,49.92,0.655,49.30057803468208,30.0,47.439158629900675,33.493598355211276,47.84322831842707,33.466736807732126
ministral-3:8b,0.6,0.6,223,58.48,0.594,46.874439461883405,30.0,43.05177200003439,29.039267350398944,43.695585359711934,29.442704165022747
ministral-3:8b,0.6,0.7,110,70.1,0.563,53.64545454545455,35.0,46.60828526400316,30.63161344496134,48.432464446910096,31.17846696524397
ministral-3:8b,0.6,0.8,44,71.88,0.463,33.95454545454545,25.5,29.674979325798734,25.769342604860427,31.166915446292965,27.326560561441767
ministral-3:8b,0.6,0.9,19,112.96,0.319,37.526315789473685,33.0,30.455442457179768,22.216673719847677,34.338517978523925,25.560165975103814
ministral-3:8b,0.8,0.5,359,66.34,0.558,54.06685236768802,36.0,51.44416674852956,38.362466024131066,51.83138478600879,38.707121163710696
ministral-3:8b,0.8,0.6,217,89.64,0.403,57.85253456221198,40.0,50.399867211837105,39.49033443404767,51.10770820260693,39.71287980226819
ministral-3:8b,0.8,0.7,104,108.16,0.292,59.09615384615385,39.5,46.11637864670187,30.58080099512985,47.752347811204906,31.568316273327795
ministral-3:8b,0.8,0.8,39,107.64,0.223,37.69230769230769,26.0,29.4361452362392,19.92024786917517,31.066165149656673,21.177862604497363
